------------ Data Table File Created By ActiGraph Link ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yyyy Filter Normal -----------,,,,,,,,,,,,
Serial Number: TAS1E45150269,,,,,,,,,,,,
Start Time 13:10:00,,,,,,,,,,,,
Start Date 7/27/2018,,,,,,,,,,,,
Epoch Period (hh:mm:ss) 00:00:01,,,,,,,,,,,,
Download Time 13:58:19,,,,,,,,,,,,
Download Date 7/27/2018,,,,,,,,,,,,
Current Memory Address: 0,,,,,,,,,,,,
Current Battery Voltage: 4.1     Mode = 63,,,,,,,,,,,,
--------------------------------------------------,,,,,,,,,,,,
Date,Time,Axis1,Axis2,Axis3,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
7/27/2018,13:10:00,90,128,81,0,0,0,0,1,0,0,176.2
7/27/2018,13:10:01,97,214,173,1,0,0,0,1,0,0,291.78
7/27/2018,13:10:02,125,112,65,0,0,0,0,1,0,0,179.98
7/27/2018,13:10:03,93,119,104,0,0,0,0,1,0,0,183.37
7/27/2018,13:10:04,64,105,80,1,0,0,0,1,0,0,146.7
7/27/2018,13:10:05,39,52,0,0,0,0,0,1,0,0,65
7/27/2018,13:10:06,0,37,0,0,0,0,0,0,1,0,37
7/27/2018,13:10:07,0,16,0,0,0,0,0,0,1,0,16
7/27/2018,13:10:08,1,7,5,0,0,0,0,0,1,0,8.66
7/27/2018,13:10:09,18,64,4,0,0,0,0,1,0,0,66.6
7/27/2018,13:10:10,18,9,0,0,0,0,0,1,0,0,20.12
7/27/2018,13:10:11,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:10:12,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:13,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:14,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:15,79,83,180,2,0,0,0,1,0,0,213.38
7/27/2018,13:10:16,87,67,67,1,0,0,0,1,0,0,128.64
7/27/2018,13:10:17,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:18,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:19,2,0,10,0,0,0,0,0,0,1,10.2
7/27/2018,13:10:20,78,92,172,0,0,0,0,1,0,0,210.08
7/27/2018,13:10:21,46,32,35,1,0,0,0,1,0,0,66.07
7/27/2018,13:10:22,2,0,0,0,0,0,0,0,1,0,2
7/27/2018,13:10:23,29,26,195,0,0,0,0,1,0,0,198.85
7/27/2018,13:10:24,30,38,171,1,0,0,0,1,0,0,177.72
7/27/2018,13:10:25,41,23,107,1,0,0,0,1,0,0,116.87
7/27/2018,13:10:26,77,49,81,1,0,0,0,1,0,0,122.03
7/27/2018,13:10:27,0,5,26,0,0,0,0,0,1,0,26.48
7/27/2018,13:10:28,90,75,255,1,0,0,0,1,0,0,280.62
7/27/2018,13:10:29,30,89,100,1,0,0,0,1,0,0,137.19
7/27/2018,13:10:30,107,122,227,0,0,0,0,1,0,0,279.04
7/27/2018,13:10:31,49,31,177,1,0,0,0,1,0,0,186.26
7/27/2018,13:10:32,1,0,2,0,0,0,0,0,1,0,2.24
7/27/2018,13:10:33,33,40,19,0,0,0,0,1,0,0,55.23
7/27/2018,13:10:34,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:35,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:36,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:37,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:38,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:39,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:40,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:41,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:42,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:43,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:44,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:45,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:46,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:47,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:48,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:49,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:50,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:51,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:52,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:53,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:54,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:55,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:56,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:57,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:58,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:10:59,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:00,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:01,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:02,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:03,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:04,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:05,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:06,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:07,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:08,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:09,0,0,0,0,0,0,0,0,0,1,0
7/27/2018,13:11:10,16,0,3,0,0,0,0,1,0,0,16.28
7/27/2018,13:11:11,59,15,48,1,0,0,0,1,0,0,77.52
7/27/2018,13:11:12,12,62,9,0,0,0,0,1,0,0,63.79
7/27/2018,13:11:13,4,5,4,0,0,0,0,0,1,0,7.55
7/27/2018,13:11:14,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:15,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:16,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:17,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:18,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:19,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:20,55,1,41,0,0,0,0,1,0,0,68.61
7/27/2018,13:11:21,75,85,72,0,0,0,0,1,0,0,134.29
7/27/2018,13:11:22,194,190,45,0,0,0,0,1,0,0,275.25
7/27/2018,13:11:23,130,237,66,1,0,0,0,1,0,0,278.25
7/27/2018,13:11:24,61,164,61,1,0,0,0,1,0,0,185.31
7/27/2018,13:11:25,32,30,20,0,0,0,0,1,0,0,48.21
7/27/2018,13:11:26,7,0,19,0,0,0,0,1,0,0,20.25
7/27/2018,13:11:27,0,0,4,0,0,0,0,0,1,0,4
7/27/2018,13:11:28,0,0,0,0,0,0,0,0,1,0,0
7/27/2018,13:11:29,85,78,67,1,0,0,0,1,0,0,133.41
