------------ Data Table File Created By ActiGraph Link ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yyyy Filter Normal -----------
Serial Number: TAS1E45150274
Start Time 12:25:00
Start Date 7/30/2018
Epoch Period (hh:mm:ss) 00:00:01
Download Time 13:38:05
Download Date 7/30/2018
Current Memory Address: 0
Current Battery Voltage: 3.97     Mode = 63
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
7/30/2018,12:25:00,9,41,18,0,0,0,0,1,0,0,45.67
7/30/2018,12:25:01,44,46,41,1,0,0,0,1,0,0,75.72
7/30/2018,12:25:02,15,43,13,0,0,0,0,1,0,0,47.36
7/30/2018,12:25:03,11,9,7,1,0,0,0,1,0,0,15.84
7/30/2018,12:25:04,0,39,0,0,0,0,0,0,0,1,39
7/30/2018,12:25:05,0,15,0,0,0,0,1,0,0,0,15
7/30/2018,12:25:06,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:07,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:08,0,0,1,0,0,0,1,0,0,0,1
7/30/2018,12:25:09,0,4,0,0,0,0,1,0,0,0,4
7/30/2018,12:25:10,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:11,14,11,15,0,0,0,0,1,0,0,23.28
7/30/2018,12:25:12,11,26,11,0,0,0,0,1,0,0,30.3
7/30/2018,12:25:13,0,0,1,0,0,0,1,0,0,0,1
7/30/2018,12:25:14,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:15,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:16,0,0,0,0,0,0,1,0,0,0,0
7/30/2018,12:25:17,0,3,0,0,0,0,1,0,0,0,3
7/30/2018,12:25:18,11,12,4,1,0,0,0,1,0,0,16.76
7/30/2018,12:25:19,7,0,31,0,0,0,0,1,0,0,31.78
7/30/2018,12:25:20,52,50,51,1,0,0,0,1,0,0,88.35
7/30/2018,12:25:21,26,51,12,0,0,0,0,1,0,0,58.49
7/30/2018,12:25:22,13,14,0,1,0,0,0,1,0,0,19.1
7/30/2018,12:25:23,1,1,0,0,0,0,0,0,1,0,1.41
7/30/2018,12:25:24,0,0,0,0,0,0,0,0,1,0,0
